,index,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary-class
62,117,"[45, 50[",Local-gov,197371,Assoc-voc,11,Married-civ-spouse,Craft-repair, Husband,*,Male,0,0,40,United-States, >50K
63,118,"[55, 60[",Private,247552,Some-college,10,Married-civ-spouse,Sales, Husband,*,Male,0,0,56,United-States, <=50K
64,119,"[20, 25[",Private,102632,HS-grad,9,Never-married,Craft-repair, Not-in-family,*,Male,0,0,41,United-States, <=50K
65,120,"[20, 25[",Private,199915,Some-college,10,Never-married,Other-service, Own-child,*,Female,0,0,40,United-States, <=50K
66,121,"[40, 45[",Private,118853,Bachelors,13,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,60,United-States, <=50K
67,123,"[25, 30[",State-gov,267989,Bachelors,13,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,0,50,United-States, >50K
68,124,"[15, 20[",Private,301606,Some-college,10,Never-married,Other-service, Own-child,*,Male,0,0,35,United-States, <=50K
69,126,"[20, 25[",Private,111697,Some-college,10,Never-married,Adm-clerical, Own-child,*,Female,0,1719,28,United-States, <=50K
70,128,"[35, 40[",?,129305,HS-grad,9,Married-civ-spouse,?, Husband,*,Male,0,0,40,United-States, <=50K
71,129,"[35, 40[",Private,365739,Some-college,10,Divorced,Craft-repair, Not-in-family,*,Male,0,0,40,United-States, <=50K
72,131,"[20, 25[",Private,43323,HS-grad,9,Never-married,Other-service, Not-in-family,*,Female,0,1762,40,United-States, <=50K
73,132,"[35, 40[",Self-emp-not-inc,120985,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,*,Male,4386,0,35,United-States, <=50K
74,133,"[35, 40[",Private,254202,Bachelors,13,Married-civ-spouse,Sales, Husband,*,Male,0,0,50,United-States, <=50K
75,136,"[40, 45[",Self-emp-not-inc,56920,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,*,Male,0,0,60,United-States, <=50K
76,138,"[20, 25[",Private,34310,Some-college,10,Never-married,Sales, Own-child,*,Male,0,0,20,United-States, <=50K
77,139,"[45, 50[",Private,81973,Some-college,10,Married-civ-spouse,Craft-repair, Husband,*,Male,0,0,40,United-States, >50K
78,140,"[60, 65[",Self-emp-inc,66614,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,*,Male,0,0,40,United-States, <=50K
79,141,"[25, 30[",Private,232782,Some-college,10,Never-married,Sales, Own-child,*,Female,0,0,40,United-States, <=50K
80,146,"[20, 25[",Private,175374,Some-college,10,Married-civ-spouse,Other-service, Husband,*,Male,0,0,24,United-States, <=50K
81,151,"[30, 35[",Private,198183,HS-grad,9,Never-married,Adm-clerical, Not-in-family,*,Female,0,0,40,United-States, <=50K
82,153,"[20, 25[",Private,296158,HS-grad,9,Never-married,Craft-repair, Own-child,*,Male,0,0,35,United-States, <=50K
83,155,"[45, 50[",Private,187715,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,*,Male,0,0,46,United-States, <=50K
84,158,"[25, 30[",Private,191535,HS-grad,9,Divorced,Craft-repair, Not-in-family,*,Male,0,0,60,United-States, <=50K
85,161,"[25, 30[",Private,252752,HS-grad,9,Never-married,Other-service, Unmarried,*,Female,0,0,40,United-States, <=50K
86,162,"[40, 45[",Self-emp-inc,78374,Masters,14,Divorced,Exec-managerial, Unmarried,*,Female,0,0,40,United-States, <=50K
87,164,"[45, 50[",Self-emp-not-inc,201080,Masters,14,Married-civ-spouse,Sales, Husband,*,Male,0,0,40,United-States, >50K
88,168,"[15, 20[",Private,25828,11th,7,Never-married,Handlers-cleaners, Own-child,*,Male,0,0,16,United-States, <=50K
89,170,"[25, 30[",Private,124953,HS-grad,9,Never-married,Other-service, Not-in-family,*,Male,0,1980,40,United-States, <=50K
90,171,"[25, 30[",State-gov,175325,HS-grad,9,Married-civ-spouse,Protective-serv, Husband,*,Male,0,0,40,United-States, <=50K
91,172,"[50, 55[",Private,96062,Some-college,10,Married-civ-spouse,Sales, Husband,*,Male,0,1977,40,United-States, >50K
92,173,"[25, 30[",Private,428030,Bachelors,13,Never-married,Craft-repair, Not-in-family,*,Male,0,0,50,United-States, <=50K
93,174,"[25, 30[",State-gov,149624,Bachelors,13,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,0,40,United-States, >50K
94,176,"[20, 25[",Private,312956,HS-grad,9,Never-married,Craft-repair, Own-child,*,Male,0,0,40,United-States, <=50K
95,177,"[30, 35[",Private,483777,HS-grad,9,Never-married,Handlers-cleaners, Not-in-family,*,Male,0,0,40,United-States, <=50K
96,178,"[15, 20[",Private,183930,HS-grad,9,Never-married,Other-service, Own-child,*,Male,0,0,12,United-States, <=50K
97,179,"[30, 35[",Private,37274,Bachelors,13,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,0,65,United-States, <=50K
98,180,"[40, 45[",Local-gov,181344,Some-college,10,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,38,United-States, >50K
99,181,"[40, 45[",Private,114580,Some-college,10,Divorced,Adm-clerical, Not-in-family,*,Female,0,0,40,United-States, <=50K
100,182,"[30, 35[",Private,633742,Some-college,10,Never-married,Craft-repair, Not-in-family,*,Male,0,0,45,United-States, <=50K
101,184,"[35, 40[",Federal-gov,29054,Some-college,10,Married-civ-spouse,Adm-clerical, Husband,*,Male,0,0,42,United-States, >50K
102,185,"[30, 35[",Private,304030,HS-grad,9,Married-civ-spouse,Adm-clerical, Husband,*,Male,0,0,40,United-States, <=50K
103,186,"[40, 45[",Self-emp-not-inc,143129,Bachelors,13,Divorced,Exec-managerial, Not-in-family,*,Female,0,0,40,United-States, <=50K
104,189,"[55, 60[",State-gov,109567,Doctorate,16,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,0,1,United-States, >50K
105,192,"[40, 45[",Local-gov,523910,Bachelors,13,Married-civ-spouse,Craft-repair, Husband,*,Male,0,0,40,United-States, <=50K
106,193,"[45, 50[",Private,120939,Some-college,10,Married-civ-spouse,Tech-support, Husband,*,Male,0,0,45,United-States, <=50K
107,194,"[40, 45[",Federal-gov,130760,Bachelors,13,Married-civ-spouse,Tech-support, Husband,*,Male,0,0,24,United-States, <=50K
108,196,"[35, 40[",Private,99374,Some-college,10,Divorced,Craft-repair, Not-in-family,*,Male,0,0,40,United-States, <=50K
109,197,"[40, 45[",Federal-gov,56795,Masters,14,Never-married,Exec-managerial, Not-in-family,*,Female,14084,0,55,United-States, >50K
110,198,"[35, 40[",Private,138992,Masters,14,Married-civ-spouse,Prof-specialty, Other-relative,*,Male,7298,0,40,United-States, >50K
111,199,"[20, 25[",Self-emp-not-inc,32921,HS-grad,9,Never-married,Sales, Not-in-family,*,Male,0,0,40,United-States, <=50K
112,200,"[25, 30[",Private,397317,Masters,14,Never-married,Prof-specialty, Not-in-family,*,Female,0,1876,40,United-States, <=50K
113,202,"[50, 55[",Private,259323,Bachelors,13,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,50,United-States, >50K
114,204,"[35, 40[",State-gov,48211,HS-grad,9,Divorced,Adm-clerical, Unmarried,*,Female,0,0,35,United-States, <=50K
115,205,"[15, 20[",Private,140164,11th,7,Never-married,Sales, Own-child,*,Female,0,0,40,United-States, <=50K
116,207,"[35, 40[",Private,36270,HS-grad,9,Divorced,Craft-repair, Not-in-family,*,Male,0,0,60,United-States, <=50K
117,209,"[15, 20[",Private,65368,11th,7,Never-married,Sales, Own-child,*,Female,0,0,12,United-States, <=50K
118,210,"[40, 45[",Local-gov,160943,HS-grad,9,Married-civ-spouse,Transport-moving, Husband,*,Male,0,0,40,United-States, <=50K
119,211,"[35, 40[",Private,208358,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,*,Male,0,0,40,United-States, >50K
120,213,"[60, 65[",Private,85815,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,*,Male,0,0,40,United-States, <=50K
121,215,"[35, 40[",Private,635913,Bachelors,13,Never-married,Exec-managerial, Not-in-family,*,Male,0,0,60,United-States, >50K
122,218,"[45, 50[",Private,109434,Bachelors,13,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,0,55,United-States, <=50K
123,220,"[30, 35[",Private,197860,Some-college,10,Married-civ-spouse,Handlers-cleaners, Husband,*,Male,0,0,40,United-States, <=50K
124,223,"[50, 55[",Private,176681,HS-grad,9,Married-civ-spouse,Adm-clerical, Husband,*,Male,0,0,20,United-States, <=50K
125,225,"[15, 20[",Private,243313,HS-grad,9,Never-married,Sales, Own-child,*,Female,0,0,40,United-States, <=50K
126,227,"[65, 70[",Self-emp-not-inc,167687,HS-grad,9,Married-civ-spouse,Farming-fishing, Husband,*,Male,1409,0,50,United-States, <=50K
127,232,"[25, 30[",Private,159732,Some-college,10,Never-married,Adm-clerical, Not-in-family,*,Male,0,0,42,United-States, <=50K
128,234,"[25, 30[",Private,76714,Prof-school,15,Never-married,Prof-specialty, Not-in-family,*,Male,0,0,55,United-States, >50K
129,235,"[55, 60[",State-gov,268700,HS-grad,9,Married-civ-spouse,Other-service, Husband,*,Male,0,0,40,United-States, <=50K
130,236,"[40, 45[",State-gov,170525,Some-college,10,Never-married,Adm-clerical, Not-in-family,*,Female,0,0,38,United-States, <=50K
131,238,"[35, 40[",Local-gov,115076,Masters,14,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,70,United-States, >50K
132,239,"[20, 25[",Private,115458,HS-grad,9,Never-married,Transport-moving, Own-child,*,Male,0,0,40,United-States, <=50K
133,240,"[40, 45[",Private,347890,Bachelors,13,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,0,40,United-States, >50K
134,243,"[20, 25[",?,119156,Some-college,10,Never-married,?, Own-child,*,Male,0,0,20,United-States, <=50K
135,244,"[35, 40[",Private,179488,Some-college,10,Divorced,Craft-repair, Not-in-family,*,Male,0,1741,40,United-States, <=50K
136,246,"[55, 60[",Private,236596,HS-grad,9,Married-civ-spouse,Adm-clerical, Husband,*,Male,0,0,45,United-States, >50K
137,247,"[30, 35[",Private,183916,HS-grad,9,Never-married,Other-service, Not-in-family,*,Female,0,0,34,United-States, <=50K
138,248,"[40, 45[",Private,207578,Assoc-acdm,12,Married-civ-spouse,Tech-support, Husband,*,Male,0,1977,60,United-States, >50K
139,253,"[15, 20[",Local-gov,27382,Some-college,10,Never-married,Adm-clerical, Own-child,*,Male,0,0,40,United-States, <=50K
140,256,"[20, 25[",Private,117789,HS-grad,9,Never-married,Other-service, Own-child,*,Female,0,0,40,United-States, <=50K
141,257,"[30, 35[",Private,172579,HS-grad,9,Separated,Other-service, Not-in-family,*,Female,0,0,30,United-States, <=50K
142,260,"[35, 40[",Private,150042,Bachelors,13,Divorced,Prof-specialty, Own-child,*,Female,0,0,40,United-States, <=50K
143,261,"[45, 50[",Private,98092,HS-grad,9,Married-civ-spouse,Sales, Husband,*,Male,0,0,60,United-States, <=50K
144,262,"[15, 20[",Private,245918,11th,7,Never-married,Other-service, Own-child,*,Male,0,0,12,United-States, <=50K
145,263,"[55, 60[",Private,146013,Some-college,10,Married-civ-spouse,Sales, Husband,*,Male,4064,0,40,United-States, <=50K
146,264,"[25, 30[",Private,378322,11th,7,Married-civ-spouse,Craft-repair, Husband,*,Male,0,0,40,United-States, <=50K
147,267,"[60, 65[",Private,21174,HS-grad,9,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,40,United-States, >50K
148,268,"[30, 35[",Private,185480,Bachelors,13,Never-married,Prof-specialty, Not-in-family,*,Female,0,0,45,United-States, <=50K
149,270,"[60, 65[",Private,69867,HS-grad,9,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,40,United-States, >50K
150,271,"[15, 20[",Private,191260,9th,5,Never-married,Other-service, Own-child,*,Male,1055,0,24,United-States, <=50K
151,273,"[25, 30[",Local-gov,209109,Masters,14,Never-married,Prof-specialty, Own-child,*,Male,0,0,35,United-States, <=50K
152,275,"[40, 45[",Private,477983,HS-grad,9,Married-civ-spouse,Handlers-cleaners, Husband,*,Male,0,0,40,United-States, <=50K
153,276,"[40, 45[",Private,170924,Some-college,10,Married-civ-spouse,Craft-repair, Husband,*,Male,7298,0,40,United-States, >50K
154,278,"[25, 30[",Private,193787,Some-college,10,Never-married,Tech-support, Own-child,*,Female,0,0,40,United-States, <=50K
155,281,"[40, 45[",Local-gov,97688,Some-college,10,Married-civ-spouse,Craft-repair, Husband,*,Male,5178,0,40,United-States, >50K
156,284,"[20, 25[",Private,205759,HS-grad,9,Never-married,Handlers-cleaners, Own-child,*,Male,0,0,40,United-States, <=50K
157,286,"[40, 45[",Private,220531,Prof-school,15,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,0,60,United-States, >50K
158,288,"[25, 30[",Private,371987,Bachelors,13,Never-married,Exec-managerial, Not-in-family,*,Female,0,0,40,United-States, <=50K
159,290,"[35, 40[",Private,200352,Bachelors,13,Married-civ-spouse,Prof-specialty, Husband,*,Male,0,0,45,United-States, <=50K
160,293,"[20, 25[",Private,231931,Some-college,10,Never-married,Sales, Own-child,*,Male,0,0,45,United-States, <=50K
161,294,"[25, 30[",Private,248402,Bachelors,13,Never-married,Tech-support, Unmarried,*,Female,0,0,40,United-States, <=50K
162,298,"[20, 25[",Private,278130,HS-grad,9,Never-married,Craft-repair, Own-child,*,Male,0,0,40,United-States, <=50K
163,300,"[45, 50[",Private,146268,Bachelors,13,Married-civ-spouse,Adm-clerical, Husband,*,Male,7688,0,40,United-States, >50K
164,301,"[20, 25[",Private,153718,Some-college,10,Never-married,Other-service, Not-in-family,*,Female,0,0,25,United-States, <=50K
165,302,"[30, 35[",Private,217460,HS-grad,9,Married-civ-spouse,Transport-moving, Husband,*,Male,0,0,45,United-States, >50K
166,303,"[55, 60[",Private,238638,HS-grad,9,Married-civ-spouse,Sales, Husband,*,Male,4386,0,40,United-States, >50K
167,305,"[40, 45[",Private,173321,HS-grad,9,Divorced,Adm-clerical, Not-in-family,*,Female,0,0,40,United-States, <=50K
168,309,"[40, 45[",Self-emp-inc,34987,Some-college,10,Married-civ-spouse,Farming-fishing, Husband,*,Male,0,0,54,United-States, >50K
169,310,"[25, 30[",Private,59306,Bachelors,13,Never-married,Sales, Not-in-family,*,Male,0,0,40,United-States, <=50K
170,312,"[15, 20[",?,860348,Some-college,10,Never-married,?, Own-child,*,Female,0,0,25,United-States, <=50K
171,313,"[35, 40[",Self-emp-not-inc,205607,Bachelors,13,Divorced,Prof-specialty, Not-in-family,*,Female,0,0,40,United-States, >50K
172,314,"[20, 25[",Private,199698,Some-college,10,Never-married,Sales, Own-child,*,Male,0,0,15,United-States, <=50K
173,315,"[20, 25[",Private,191954,Some-college,10,Never-married,Machine-op-inspct, Not-in-family,*,Male,0,0,40,United-States, <=50K
174,318,"[25, 30[",Private,423158,Some-college,10,Never-married,Tech-support, Not-in-family,*,Female,0,0,40,United-States, <=50K
175,319,"[60, 65[",Private,159841,HS-grad,9,Widowed,Other-service, Not-in-family,*,Female,0,0,24,United-States, <=50K
176,320,"[35, 40[",Self-emp-not-inc,174308,HS-grad,9,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,40,United-States, <=50K
177,321,"[40, 45[",Private,50356,Some-college,10,Married-civ-spouse,Craft-repair, Husband,*,Male,0,1485,50,United-States, <=50K
178,322,"[35, 40[",Private,186110,HS-grad,9,Divorced,Transport-moving, Not-in-family,*,Male,0,0,45,United-States, <=50K
179,325,"[60, 65[",Self-emp-not-inc,78383,HS-grad,9,Married-civ-spouse,Farming-fishing, Husband,*,Male,0,0,45,United-States, <=50K
180,328,"[55, 60[",Self-emp-not-inc,321171,HS-grad,9,Married-civ-spouse,Handlers-cleaners, Husband,*,Male,0,0,40,United-States, <=50K
181,330,"[40, 45[",Private,206565,Some-college,10,Never-married,Craft-repair, Not-in-family,*,Male,0,0,45,United-States, <=50K
182,331,"[25, 30[",Private,224563,Bachelors,13,Never-married,Adm-clerical, Not-in-family,*,Male,0,0,40,United-States, <=50K
183,334,"[50, 55[",Private,242606,HS-grad,9,Married-civ-spouse,Transport-moving, Husband,*,Male,0,0,40,United-States, <=50K
184,336,"[30, 35[",Private,94235,HS-grad,9,Never-married,Craft-repair, Other-relative,*,Male,0,0,40,United-States, <=50K
185,339,"[45, 50[",Private,261192,HS-grad,9,Married-civ-spouse,Other-service, Husband,*,Male,0,0,40,United-States, <=50K
186,340,"[25, 30[",Private,94936,Assoc-acdm,12,Never-married,Sales, Not-in-family,*,Male,0,0,40,United-States, <=50K
187,341,"[35, 40[",Private,296478,Assoc-voc,11,Married-civ-spouse,Craft-repair, Husband,*,Male,7298,0,40,United-States, >50K
188,342,"[35, 40[",State-gov,119272,HS-grad,9,Married-civ-spouse,Protective-serv, Husband,*,Male,7298,0,40,United-States, >50K
189,343,"[30, 35[",Private,85043,HS-grad,9,Never-married,Farming-fishing, Not-in-family,*,Male,0,0,20,United-States, <=50K
190,345,"[40, 45[",Self-emp-not-inc,241895,Bachelors,13,Never-married,Sales, Not-in-family,*,Male,0,0,42,United-States, <=50K
191,349,"[30, 35[",Private,156464,Bachelors,13,Never-married,Prof-specialty, Own-child,*,Male,0,0,25,United-States, <=50K
192,350,"[30, 35[",Private,117963,Bachelors,13,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,40,United-States, >50K
193,351,"[25, 30[",Private,192262,HS-grad,9,Married-civ-spouse,Other-service, Husband,*,Male,0,0,40,United-States, <=50K
194,352,"[30, 35[",Private,111363,Bachelors,13,Married-civ-spouse,Exec-managerial, Husband,*,Male,0,0,40,United-States, >50K
195,355,"[35, 40[",Federal-gov,95432,HS-grad,9,Married-civ-spouse,Adm-clerical, Husband,*,Male,0,0,40,United-States, >50K
196,358,"[40, 45[",Private,111949,HS-grad,9,Married-civ-spouse,Adm-clerical, Wife,*,Female,0,0,35,United-States, <=50K
197,363,"[40, 45[",Private,174575,Bachelors,13,Divorced,Exec-managerial, Not-in-family,*,Male,0,1564,45,United-States, >50K
198,365,"[25, 30[",Private,92262,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,*,Male,0,0,40,United-States, <=50K
199,366,"[55, 60[",Self-emp-not-inc,183081,Some-college,10,Married-civ-spouse,Sales, Husband,*,Male,0,0,45,United-States, <=50K
200,369,"[35, 40[",Private,481060,HS-grad,9,Divorced,Sales, Unmarried,*,Female,0,0,40,United-States, <=50K
201,370,"[25, 30[",Federal-gov,185885,Some-college,10,Never-married,Adm-clerical, Unmarried,*,Female,0,0,15,United-States, <=50K
202,371,"[15, 20[",Private,89821,11th,7,Never-married,Other-service, Own-child,*,Male,0,0,10,United-States, <=50K
203,373,"[45, 50[",Private,256649,HS-grad,9,Married-civ-spouse,Machine-op-inspct, Husband,*,Male,0,0,40,United-States, <=50K
204,374,"[40, 45[",Private,160323,HS-grad,9,Never-married,Craft-repair, Not-in-family,*,Male,0,0,40,United-States, <=50K
205,375,"[20, 25[",Local-gov,350845,Some-college,10,Never-married,Adm-clerical, Own-child,*,Female,0,0,10,United-States, <=50K
206,377,"[20, 25[",Private,35633,Some-college,10,Never-married,Sales, Not-in-family,*,Male,0,0,40,United-States, <=50K
207,379,"[35, 40[",Private,172927,HS-grad,9,Married-civ-spouse,Sales, Husband,*,Male,0,0,50,United-States, <=50K
208,380,"[50, 55[",Private,174319,HS-grad,9,Divorced,Transport-moving, Not-in-family,*,Male,0,0,40,United-States, <=50K
